,year,category,total_hiv_diag_N,total_hiv_diag_per,without_aids_N,without_aids_per,concurrent_aids_N,concurrent_aids_per,aids_N,plwha_N,death_N,borough,sex,sex_cat,race_cat,borough_cat,age_cat,risk_cat
1,2011,TOTAL,3386,100,2746,81.1,640,18.9,2366,116251,2040,All,All,All,All,All,All,All
2,2011,Male,2596,76.7,2116,77.1,480,75,"1,712",82572,"1,423",All,All,Male,All,All,All,All
3,2011,Female,739,21.8,586,21.3,153,23.9,622,32737,605,All,All,Female,All,All,All,All
4,2011,Transgender,51,1.5,44,1.6,7,1.1,32,942,12,All,All,Transgender,All,All,All,All
5,2011,Black,1532,45.2,1213,44.2,319,49.8,"1,243",51759,"1,003",All,All,All,Black,All,All,All
6,2011,Latino/Hispanic,1085,32,888,32.3,197,30.8,761,37732,679,All,All,All,Latino/Hispanic,All,All,All
7,2011,White,649,19.2,550,20,99,15.5,307,23954,330,All,All,All,White,All,All,All
8,2011,Asian/Pacific Islander,108,3.2,84,3.1,24,3.8,50,2044,20,All,All,All,Asian/Pacific Islander,All,All,All
9,2011,Native American,4,0.1,4,0.1,0,0,1,265,7,All,All,All,Native American,All,All,All
10,2011,Multiracial,8,0.2,7,0.3,1,0.2,4,136,1,All,All,All,Multiracial,All,All,All
11,2011,Unknown race,0,0,0,0,0,0,0,361,0,All,All,All,Unknown race,All,All,All
12,2011,0-12,7,0.2,7,0.3,0,0,0,268,0,All,All,All,All,All,0-12,All
13,2011,13-19,187,5.5,176,6.4,11,1.7,55,1296,2,All,All,All,All,All,13-19,All
14,2011,20-29,1135,33.5,1011,36.8,124,19.4,466,9845,66,All,All,All,All,All,20-29,All
15,2011,30-39,825,24.4,672,24.5,153,23.9,538,17597,143,All,All,All,All,All,30-39,All
16,2011,40-49,712,21,524,19.1,188,29.4,716,37576,538,All,All,All,All,All,40-49,All
17,2011,50-59,383,11.3,269,9.8,114,17.8,438,34024,736,All,All,All,All,All,50-59,All
18,2011,60+,137,4,87,3.2,50,7.8,153,15645,555,All,All,All,All,All,60+,All
19,2011,Bronx,627,18.5,483,17.6,144,22.5,568,25683,513,All,All,All,All,Bronx,All,All
20,2011,Brooklyn,932,27.5,726,26.4,206,32.2,650,28029,509,All,All,All,All,Brooklyn,All,All
21,2011,Manhattan,826,24.4,709,25.8,117,18.3,500,30675,404,All,All,All,All,Manhattan,All,All
22,2011,Queens,489,14.4,386,14.1,103,16.1,305,16552,191,All,All,All,All,Queens,All,All
23,2011,Staten Island,39,1.2,24,0.9,15,2.3,33,2193,60,All,All,All,All,Staten Island,All,All
24,2011,Outside NYC,421,12.4,368,13.4,53,8.3,261,11014,86,All,All,All,All,Outside NYC,All,All
25,2011,Unknown borough,52,1.5,50,1.8,2,0.3,49,2105,277,All,All,All,All,Unknown borough,All,All
26,2011,Male who have sex with men (MSM),1756,51.9,1507,54.9,249,38.9,881,41706,375,All,All,All,All,All,All,Male who have sex with men (MSM)
27,2011,Injection drug use history (IDU),107,3.2,75,2.7,32,5,240,17749,643,All,All,All,All,All,All,Injection drug use history (IDU)
28,2011,MSM-IDU,56,1.7,47,1.7,9,1.4,57,2724,78,All,All,All,All,All,All,MSM-IDU
29,2011,Heterosexual contact,739,21.8,566,20.6,173,27,559,23090,393,All,All,All,All,All,All,Heterosexual contact
30,2011,Transgender people with sexual contact,50,1.5,43,1.6,7,1.1,29,780,8,All,All,All,All,All,All,Transgender people with sexual contact
31,2011,Perinatal,8,0.2,7,0.3,1,0.2,43,2556,25,All,All,All,All,All,All,Perinatal
32,2011,Other risk,0,0,0,0,0,0,0,225,3,All,All,All,All,All,All,Other risk
33,2011,Unknown risk,670,19.8,501,18.2,169,26.4,557,27421,515,All,All,All,All,All,All,Unknown risk
34,2011,TOTAL,414,100,316,76.3,98,23.7,365,15417,335,Bronx,Male,All,All,All,All,All
35,2011,Black,174,42,134,42.4,40,40.8,156,6617,145,Bronx,Male,All,Black,All,All,All
36,2011,Latino/Hispanic,211,51,161,50.9,50,51,191,7846,166,Bronx,Male,All,Latino/Hispanic,All,All,All
37,2011,White,22,5.3,16,5.1,6,6.1,16,791,19,Bronx,Male,All,White,All,All,All
38,2011,Asian/Pacific Islander,5,1.2,3,0.9,2,2,2,94,3,Bronx,Male,All,Asian/Pacific Islander,All,All,All
39,2011,Native American,0,0,0,0,0,0,0,37,2,Bronx,Male,All,Native American,All,All,All
40,2011,Multiracial,2,0.5,2,0.6,0,0,0,7,0,Bronx,Male,All,Multiracial,All,All,All
41,2011,Unknown race,0,0,0,0,0,0,0,25,0,Bronx,Male,All,Unknown race,All,All,All
42,2011,0-12,0,0,0,0,0,0,0,37,0,Bronx,Male,All,All,All,0-12,All
43,2011,13-19,23,5.6,22,7,1,1,8,194,0,Bronx,Male,All,All,All,13-19,All
44,2011,20-29,145,35,121,38.3,24,24.5,68,1330,9,Bronx,Male,All,All,All,20-29,All
45,2011,30-39,103,24.9,74,23.4,29,29.6,79,2012,20,Bronx,Male,All,All,All,30-39,All
46,2011,40-49,86,20.8,64,20.3,22,22.4,107,4766,78,Bronx,Male,All,All,All,40-49,All
47,2011,50-59,41,9.9,25,7.9,16,16.3,74,4876,137,Bronx,Male,All,All,All,50-59,All
48,2011,60+,16,3.9,10,3.2,6,6.1,29,2202,91,Bronx,Male,All,All,All,60+,All
49,2011,Male who have sex with men (MSM),219,52.9,179,56.6,40,40.8,128,4744,54,Bronx,Male,All,All,All,All,Male who have sex with men (MSM)
50,2011,Injection drug use history (IDU),24,5.8,18,5.7,6,6.1,55,3563,136,Bronx,Male,All,All,All,All,Injection drug use history (IDU)
51,2011,MSM-IDU,10,2.4,8,2.5,2,2,16,655,23,Bronx,Male,All,All,All,All,MSM-IDU
52,2011,Heterosexual contact,39,9.4,29,9.2,10,10.2,40,1533,27,Bronx,Male,All,All,All,All,Heterosexual contact
53,2011,Transgender people with sexual contact,1,0.2,1,0.3,0,0,0,5,0,Bronx,Male,All,All,All,All,Transgender people with sexual contact
54,2011,Perinatal,0,0,0,0,0,0,5,396,5,Bronx,Male,All,All,All,All,Perinatal
55,2011,Other risk,0,0,0,0,0,0,0,23,0,Bronx,Male,All,All,All,All,Other risk
56,2011,Unknown risk,121,29.2,81,25.6,40,40.8,121,4498,90,Bronx,Male,All,All,All,All,Unknown risk
57,2011,TOTAL,213,100,167,78.4,46,21.6,203,10266,178,Bronx,Female,All,All,All,All,All
58,2011,Black,119,55.9,90,53.9,29,63,111,5143,91,Bronx,Female,All,Black,All,All,All
59,2011,Latino/Hispanic,87,40.8,71,42.5,16,34.8,84,4712,77,Bronx,Female,All,Latino/Hispanic,All,All,All
60,2011,White,7,3.3,6,3.6,1,2.2,7,334,6,Bronx,Female,All,White,All,All,All
