"","area","year","month","labor_force","employed","unemployed","unemployment_rate"
"1","Bronx County",2019,"Jan",605800,565600,40100,6.6
"2","Bronx County",2019,"Feb",607200,569700,37500,6.2
"3","Bronx County",2019,"Mar",606400,572000,34400,5.7
"4","Bronx County",2019,"Apr",600100,570200,29900,5
"5","Bronx County",2019,"May",599300,565900,33300,5.6
"6","Bronx County",2019,"Jun",599800,566200,33500,5.6
"7","Bronx County",2019,"Jul",603900,567100,36700,6.1
"8","Bronx County",2019,"Aug",601200,565600,35600,5.9
"9","Bronx County",2019,"Sep",599200,568600,30600,5.1
"10","Bronx County",2019,"Oct",604400,570500,33900,5.6
"11","Bronx County",2019,"Nov",596600,565900,30700,5.1
"12","Bronx County",2019,"Dec",591200,565300,25900,4.4
"13","Bronx County",2019,"Avg",601258,567717,33508,5.6
"14","Bronx County",2018,"Jan",605400,566400,39000,6.4
"15","Bronx County",2018,"Feb",613100,573700,39400,6.4
"16","Bronx County",2018,"Mar",610000,573500,36500,6
"17","Bronx County",2018,"Apr",603200,571000,32200,5.3
"18","Bronx County",2018,"May",600400,570500,29900,5
"19","Bronx County",2018,"Jun",604800,570400,34400,5.7
"20","Bronx County",2018,"Jul",611100,574100,37000,6.1
"21","Bronx County",2018,"Aug",604500,568400,36100,6
"22","Bronx County",2018,"Sep",601300,570300,31000,5.2
"23","Bronx County",2018,"Oct",605900,573700,32200,5.3
"24","Bronx County",2018,"Nov",604600,573500,31100,5.1
"25","Bronx County",2018,"Dec",606200,573100,33100,5.5
"26","Bronx County",2018,"Avg",605875,571550,34325,5.7
"27","Bronx County",2017,"Jan",608200,565900,42300,6.9
"28","Bronx County",2017,"Feb",613000,571200,41800,6.8
"29","Bronx County",2017,"Mar",610600,572900,37700,6.2
"30","Bronx County",2017,"Apr",606800,571600,35200,5.8
"31","Bronx County",2017,"May",605100,569400,35700,5.9
"32","Bronx County",2017,"Jun",607200,569400,37800,6.2
"33","Bronx County",2017,"Jul",615000,572300,42600,6.9
"34","Bronx County",2017,"Aug",611300,568600,42700,7
"35","Bronx County",2017,"Sep",609300,571800,37500,6.2
"36","Bronx County",2017,"Oct",607200,570900,36300,6
"37","Bronx County",2017,"Nov",604500,569500,35100,5.8
"38","Bronx County",2017,"Dec",603400,568900,34500,5.7
"39","Bronx County",2017,"Avg",608467,570200,38267,6.3
"40","Bronx County",2016,"Jan",608800,562200,46600,7.7
"41","Bronx County",2016,"Feb",613800,567500,46300,7.5
"42","Bronx County",2016,"Mar",613300,568000,45300,7.4
"43","Bronx County",2016,"Apr",606500,565700,40900,6.7
"44","Bronx County",2016,"May",602400,564000,38400,6.4
"45","Bronx County",2016,"Jun",606700,563700,43000,7.1
"46","Bronx County",2016,"Jul",614400,567000,47300,7.7
"47","Bronx County",2016,"Aug",611700,564900,46800,7.7
"48","Bronx County",2016,"Sep",609800,565600,44200,7.2
"49","Bronx County",2016,"Oct",610500,566400,44200,7.2
"50","Bronx County",2016,"Nov",604700,565400,39300,6.5
"51","Bronx County",2016,"Dec",603000,565000,38100,6.3
"52","Bronx County",2016,"Avg",608800,565450,43367,7.1
"53","Bronx County",2015,"Jan",609800,552800,56900,9.3
"54","Bronx County",2015,"Feb",612200,557300,54900,9
"55","Bronx County",2015,"Mar",607600,557700,49900,8.2
"56","Bronx County",2015,"Apr",604500,558100,46400,7.7
"57","Bronx County",2015,"May",605700,558500,47300,7.8
"58","Bronx County",2015,"Jun",603700,557900,45800,7.6
"59","Bronx County",2015,"Jul",608600,560600,48100,7.9
"60","Bronx County",2015,"Aug",603500,558600,44900,7.4
"61","Bronx County",2015,"Sep",599400,558600,40800,6.8
"62","Bronx County",2015,"Oct",605200,561800,43400,7.2
"63","Bronx County",2015,"Nov",604600,560700,43900,7.3
"64","Bronx County",2015,"Dec",605000,561800,43200,7.1
"65","Bronx County",2015,"Avg",605817,558700,47125,7.8
"66","Kings County",2019,"Jan",1206800,1146900,59900,5
"67","Kings County",2019,"Feb",1212700,1156100,56600,4.7
"68","Kings County",2019,"Mar",1214500,1162000,52500,4.3
"69","Kings County",2019,"Apr",1204200,1158100,46000,3.8
"70","Kings County",2019,"May",1201500,1149500,52000,4.3
"71","Kings County",2019,"Jun",1201200,1148700,52500,4.4
"72","Kings County",2019,"Jul",1205800,1149900,56000,4.6
"73","Kings County",2019,"Aug",1199900,1146400,53600,4.5
"74","Kings County",2019,"Sep",1199300,1153000,46300,3.9
"75","Kings County",2019,"Oct",1208700,1157100,51600,4.3
"76","Kings County",2019,"Nov",1193900,1148000,45900,3.8
"77","Kings County",2019,"Dec",1185300,1146900,38400,3.2
"78","Kings County",2019,"Avg",1202817,1151883,50942,4.2
"79","Kings County",2018,"Jan",1206300,1149900,56400,4.7
"80","Kings County",2018,"Feb",1222300,1164800,57500,4.7
"81","Kings County",2018,"Mar",1218800,1165200,53600,4.4
"82","Kings County",2018,"Apr",1209300,1160900,48400,4
"83","Kings County",2018,"May",1204700,1159800,44900,3.7
"84","Kings County",2018,"Jun",1210500,1158300,52300,4.3
"85","Kings County",2018,"Jul",1220900,1165700,55200,4.5
"86","Kings County",2018,"Aug",1207200,1153300,53900,4.5
"87","Kings County",2018,"Sep",1205800,1158100,47700,4
"88","Kings County",2018,"Oct",1214000,1164700,49300,4.1
"89","Kings County",2018,"Nov",1209500,1163200,46300,3.8
"90","Kings County",2018,"Dec",1211200,1162100,49100,4.1
"91","Kings County",2018,"Avg",1211708,1160500,51217,4.2
"92","Kings County",2017,"Jan",1211700,1149500,62200,5.1
"93","Kings County",2017,"Feb",1222600,1160700,61800,5.1
"94","Kings County",2017,"Mar",1220100,1164600,55500,4.5
"95","Kings County",2017,"Apr",1214100,1161300,52800,4.3
"96","Kings County",2017,"May",1211600,1157200,54400,4.5
"97","Kings County",2017,"Jun",1213800,1156800,57000,4.7
"98","Kings County",2017,"Jul",1226600,1161800,64700,5.3
