"","areatype","area","year","month","laborforce","employed","unemployed","unemployment_rate"
"1","County","Albany County",2020,"1",159700,153500,6200,3.9
"2","County","Albany County",2020,"2",160000,154100,5900,3.7
"3","County","Albany County",2020,"3",159500,153500,5900,3.7
"4","County","Albany County",2020,"4",154100,135700,18400,11.9
"5","County","Albany County",2020,"5",158400,143700,14800,9.3
"6","County","Albany County",2020,"6",157900,141500,16400,10.4
"7","County","Albany County",2020,"7",164000,144900,19100,11.6
"8","County","Albany County",2020,"8",160500,146100,14400,8.9
"9","County","Albany County",2020,"9",153500,144800,8700,5.6
"10","County","Albany County",2020,"10",152500,143400,9000,5.9
"11","County","Albany County",2019,"avg",157400,151700,5700,3.6
"12","County","Albany County",2019,"1",156400,150000,6400,4.1
"13","County","Albany County",2019,"2",156700,150400,6300,4
"14","County","Albany County",2019,"3",156700,150800,5800,3.7
"15","County","Albany County",2019,"4",156100,151000,5100,3.3
"16","County","Albany County",2019,"5",156400,151200,5200,3.3
"17","County","Albany County",2019,"6",158200,152600,5700,3.6
"18","County","Albany County",2019,"7",158000,151900,6200,3.9
"19","County","Albany County",2019,"8",157700,151600,6100,3.9
"20","County","Albany County",2019,"9",157600,152000,5600,3.5
"21","County","Albany County",2019,"10",158900,153400,5600,3.5
"22","County","Albany County",2019,"11",158700,153400,5400,3.4
"23","County","Albany County",2019,"12",157900,152200,5700,3.6
"24","County","Albany County",2018,"avg",157500,151700,5800,3.7
"25","County","Albany County",2018,"1",154800,147700,7200,4.6
"26","County","Albany County",2018,"2",156400,149200,7200,4.6
"27","County","Albany County",2018,"3",156800,150400,6400,4.1
"28","County","Albany County",2018,"4",157100,151300,5800,3.7
"29","County","Albany County",2018,"5",158000,152700,5200,3.3
"30","County","Albany County",2018,"6",160500,154400,6200,3.8
"31","County","Albany County",2018,"7",159900,153900,6000,3.7
"32","County","Albany County",2018,"8",157800,152100,5700,3.6
"33","County","Albany County",2018,"9",157300,152100,5200,3.3
"34","County","Albany County",2018,"10",158500,153500,5000,3.2
"35","County","Albany County",2018,"11",157200,152400,4800,3
"36","County","Albany County",2018,"12",155800,150500,5300,3.4
"37","County","Albany County",2017,"avg",158100,151500,6700,4.2
"38","County","Albany County",2017,"1",156100,148900,7200,4.6
"39","County","Albany County",2017,"2",156800,149500,7300,4.6
"40","County","Albany County",2017,"3",158000,151700,6400,4
"41","County","Albany County",2017,"4",159000,152800,6200,3.9
"42","County","Albany County",2017,"5",158200,151900,6300,4
"43","County","Albany County",2017,"6",160700,153700,7000,4.4
"44","County","Albany County",2017,"7",160300,153100,7200,4.5
"45","County","Albany County",2017,"8",159400,152300,7100,4.5
"46","County","Albany County",2017,"9",159000,152400,6600,4.2
"47","County","Albany County",2017,"10",158300,152000,6300,4
"48","County","Albany County",2017,"11",156700,150500,6200,3.9
"49","County","Albany County",2017,"12",155100,149000,6100,3.9
"50","County","Albany County",2016,"avg",158400,152000,6400,4.1
"51","County","Albany County",2016,"1",158300,151400,6900,4.3
"52","County","Albany County",2016,"2",158800,151900,6900,4.3
"53","County","Albany County",2016,"3",159000,152500,6500,4.1
"54","County","Albany County",2016,"4",158600,152400,6100,3.9
"55","County","Albany County",2016,"5",158600,152800,5800,3.7
"56","County","Albany County",2016,"6",160300,153600,6600,4.1
"57","County","Albany County",2016,"7",159800,152900,6800,4.3
"58","County","Albany County",2016,"8",159000,152300,6700,4.2
"59","County","Albany County",2016,"9",157400,150800,6500,4.2
"60","County","Albany County",2016,"10",158400,152200,6200,3.9
"61","County","Albany County",2016,"11",157100,151200,5900,3.7
"62","County","Albany County",2016,"12",156100,150100,6100,3.9
"63","County","Albany County",2015,"avg",158500,151600,6900,4.3
"64","County","Albany County",2015,"1",157700,149700,8000,5.1
"65","County","Albany County",2015,"2",157400,149700,7700,4.9
"66","County","Albany County",2015,"3",157500,150700,6900,4.3
"67","County","Albany County",2015,"4",158500,151800,6700,4.2
"68","County","Albany County",2015,"5",159800,152800,7100,4.4
"69","County","Albany County",2015,"6",161200,153700,7400,4.6
"70","County","Albany County",2015,"7",159700,152300,7500,4.7
"71","County","Albany County",2015,"8",158800,152000,6800,4.3
"72","County","Albany County",2015,"9",157100,150700,6400,4.1
"73","County","Albany County",2015,"10",158600,152400,6200,3.9
"74","County","Albany County",2015,"11",157900,151800,6100,3.8
"75","County","Albany County",2015,"12",157400,151400,6100,3.8
"76","County","Albany County",2014,"avg",157200,149500,7700,4.9
"77","County","Albany County",2014,"1",157200,148200,9100,5.8
"78","County","Albany County",2014,"2",157400,148300,9000,5.7
"79","County","Albany County",2014,"3",157700,149400,8300,5.3
"80","County","Albany County",2014,"4",156600,149600,7000,4.5
"81","County","Albany County",2014,"5",157600,150200,7500,4.7
"82","County","Albany County",2014,"6",159600,151800,7800,4.9
"83","County","Albany County",2014,"7",158600,150400,8200,5.2
"84","County","Albany County",2014,"8",157300,149400,7900,5
"85","County","Albany County",2014,"9",155800,148500,7200,4.6
"86","County","Albany County",2014,"10",157600,150700,6900,4.4
"87","County","Albany County",2014,"11",156400,149500,6900,4.4
"88","County","Albany County",2014,"12",155100,148500,6600,4.2
"89","County","Albany County",2013,"avg",160800,151100,9700,6.1
"90","County","Albany County",2013,"1",160900,148900,12100,7.5
"91","County","Albany County",2013,"2",160700,149500,11200,7
"92","County","Albany County",2013,"3",160100,150000,10100,6.3
"93","County","Albany County",2013,"4",160800,151500,9400,5.8
"94","County","Albany County",2013,"5",162100,152400,9600,5.9
"95","County","Albany County",2013,"6",164400,154100,10300,6.3
"96","County","Albany County",2013,"7",163100,152900,10200,6.3
"97","County","Albany County",2013,"8",161900,152200,9700,6
"98","County","Albany County",2013,"9",160300,151100,9300,5.8
"99","County","Albany County",2013,"10",159100,150200,8900,5.6
"100","County","Albany County",2013,"11",159000,150700,8300,5.2
"101","County","Albany County",2013,"12",157300,149400,7900,5
"102","County","Albany County",2012,"avg",160700,149300,11400,7.1
"103","County","Albany County",2012,"1",158300,146200,12100,7.7
"104","County","Albany County",2012,"2",159200,147000,12200,7.6
"105","County","Albany County",2012,"3",158700,147200,11500,7.2
"106","County","Albany County",2012,"4",159700,148800,10900,6.8
"107","County","Albany County",2012,"5",161000,149600,11400,7.1
"108","County","Albany County",2012,"6",163000,150800,12200,7.5
"109","County","Albany County",2012,"7",161800,149400,12400,7.6
"110","County","Albany County",2012,"8",161200,149600,11700,7.2
"111","County","Albany County",2012,"9",160800,149800,11000,6.8
"112","County","Albany County",2012,"10",162300,151600,10700,6.6
"113","County","Albany County",2012,"11",161700,151600,10100,6.2
"114","County","Albany County",2012,"12",160000,149500,10600,6.6
"115","County","Albany County",2011,"avg",158300,147300,11000,6.9
"116","County","Albany County",2011,"1",157800,145900,11900,7.5
"117","County","Albany County",2011,"2",157900,146500,11400,7.2
"118","County","Albany County",2011,"3",157700,147000,10700,6.8
"119","County","Albany County",2011,"4",158100,147900,10300,6.5
"120","County","Albany County",2011,"5",157900,147600,10400,6.6
"121","County","Albany County",2011,"6",159100,147800,11300,7.1
"122","County","Albany County",2011,"7",158900,147500,11400,7.2
"123","County","Albany County",2011,"8",158900,147900,11000,7
"124","County","Albany County",2011,"9",157900,146900,11100,7
"125","County","Albany County",2011,"10",158700,148100,10600,6.7
"126","County","Albany County",2011,"11",158700,148100,10600,6.6
"127","County","Albany County",2011,"12",157600,146800,10800,6.9
"128","County","Albany County",2010,"avg",161500,150300,11200,7
"129","County","Albany County",2010,"1",160800,148600,12200,7.6
"130","County","Albany County",2010,"2",161200,149300,11900,7.4
"131","County","Albany County",2010,"3",161100,149800,11300,7
"132","County","Albany County",2010,"4",163000,152200,10800,6.6
"133","County","Albany County",2010,"5",162600,151800,10700,6.6
"134","County","Albany County",2010,"6",164200,152800,11400,7
"135","County","Albany County",2010,"7",163700,151900,11800,7.2
"136","County","Albany County",2010,"8",163200,151900,11300,6.9
"137","County","Albany County",2010,"9",160800,149900,10900,6.8
"138","County","Albany County",2010,"10",159900,149100,10800,6.8
"139","County","Albany County",2010,"11",159600,148600,11000,6.9
"140","County","Albany County",2010,"12",158000,147300,10700,6.8
"141","County","Albany County",2009,"avg",158900,148200,10800,6.8
"142","County","Albany County",2009,"1",159000,148600,10400,6.6
"143","County","Albany County",2009,"2",159400,148600,10800,6.8
"144","County","Albany County",2009,"3",158700,148300,10400,6.6
"145","County","Albany County",2009,"4",160100,149900,10200,6.3
"146","County","Albany County",2009,"5",159800,149200,10500,6.6
"147","County","Albany County",2009,"6",162500,151100,11400,7
"148","County","Albany County",2009,"7",161500,150300,11300,7
"149","County","Albany County",2009,"8",160500,149400,11100,6.9
"150","County","Albany County",2009,"9",157600,146400,11100,7.1
"151","County","Albany County",2009,"10",157100,146300,10800,6.9
"152","County","Albany County",2009,"11",156800,146300,10500,6.7
"153","County","Albany County",2009,"12",154300,143700,10600,6.9
"154","County","Albany County",2008,"avg",160600,152800,7800,4.9
"155","County","Albany County",2008,"1",158300,150600,7600,4.8
"156","County","Albany County",2008,"2",157900,150400,7500,4.7
"157","County","Albany County",2008,"3",158200,150800,7400,4.7
"158","County","Albany County",2008,"4",159100,152400,6700,4.2
"159","County","Albany County",2008,"5",160600,153200,7500,4.7
"160","County","Albany County",2008,"6",163400,155500,7900,4.8
"161","County","Albany County",2008,"7",163500,155300,8100,5
"162","County","Albany County",2008,"8",162800,154700,8000,4.9
"163","County","Albany County",2008,"9",160500,152500,8000,5
"164","County","Albany County",2008,"10",161600,153600,7900,4.9
"165","County","Albany County",2008,"11",161100,153000,8100,5.1
"166","County","Albany County",2008,"12",159700,150900,8700,5.5
"167","County","Albany County",2007,"avg",158700,152600,6100,3.9
"168","County","Albany County",2007,"1",158200,151400,6700,4.3
"169","County","Albany County",2007,"2",157800,151300,6400,4.1
"170","County","Albany County",2007,"3",157800,152000,5900,3.7
"171","County","Albany County",2007,"4",156700,151200,5500,3.5
"172","County","Albany County",2007,"5",157600,152000,5600,3.6
"173","County","Albany County",2007,"6",160900,154700,6200,3.9
"174","County","Albany County",2007,"7",160900,154300,6600,4.1
"175","County","Albany County",2007,"8",159700,153700,6100,3.8
"176","County","Albany County",2007,"9",158500,152200,6200,3.9
"177","County","Albany County",2007,"10",158500,152600,6000,3.8
"178","County","Albany County",2007,"11",159500,153400,6100,3.8
"179","County","Albany County",2007,"12",158500,152100,6400,4
"180","County","Albany County",2006,"avg",159500,153400,6100,3.8
"181","County","Albany County",2006,"1",157800,151300,6500,4.1
"182","County","Albany County",2006,"2",158500,151800,6700,4.2
"183","County","Albany County",2006,"3",158800,152400,6400,4.1
"184","County","Albany County",2006,"4",159000,153100,6000,3.8
"185","County","Albany County",2006,"5",159200,153200,6100,3.8
"186","County","Albany County",2006,"6",161900,155500,6400,4
"187","County","Albany County",2006,"7",162100,155400,6700,4.1
"188","County","Albany County",2006,"8",161300,155100,6100,3.8
"189","County","Albany County",2006,"9",158100,152100,6000,3.8
"190","County","Albany County",2006,"10",159300,154000,5300,3.3
"191","County","Albany County",2006,"11",159100,153500,5500,3.5
"192","County","Albany County",2006,"12",158600,153300,5300,3.3
"193","County","Albany County",2005,"avg",159300,153000,6200,3.9
"194","County","Albany County",2005,"1",157300,150400,6900,4.4
"195","County","Albany County",2005,"2",157100,150300,6800,4.3
"196","County","Albany County",2005,"3",156400,150400,6000,3.8
"197","County","Albany County",2005,"4",157900,152100,5800,3.7
"198","County","Albany County",2005,"5",158700,152600,6100,3.8
"199","County","Albany County",2005,"6",161100,154600,6500,4
"200","County","Albany County",2005,"7",162700,156100,6600,4.1
"201","County","Albany County",2005,"8",162300,156400,5900,3.6
"202","County","Albany County",2005,"9",159400,153000,6400,4
"203","County","Albany County",2005,"10",160200,154400,5800,3.6
"204","County","Albany County",2005,"11",159400,153300,6100,3.8
"205","County","Albany County",2005,"12",158600,152900,5700,3.6
"206","County","Albany County",2004,"avg",158700,152000,6600,4.2
"207","County","Albany County",2004,"1",157800,149900,7800,5
"208","County","Albany County",2004,"2",157600,150100,7500,4.8
"209","County","Albany County",2004,"3",157000,149600,7500,4.8
"210","County","Albany County",2004,"4",157300,150800,6400,4.1
"211","County","Albany County",2004,"5",158100,151900,6300,4
"212","County","Albany County",2004,"6",160700,153700,6900,4.3
"213","County","Albany County",2004,"7",161800,155000,6800,4.2
"214","County","Albany County",2004,"8",160900,154800,6100,3.8
"215","County","Albany County",2004,"9",157600,151500,6100,3.8
"216","County","Albany County",2004,"10",158300,152500,5800,3.7
"217","County","Albany County",2004,"11",158600,152600,6000,3.8
"218","County","Albany County",2004,"12",158300,152100,6200,3.9
"219","County","Albany County",2003,"avg",157900,151200,6700,4.2
"220","County","Albany County",2003,"1",156900,149800,7100,4.5
"221","County","Albany County",2003,"2",157400,150400,6900,4.4
"222","County","Albany County",2003,"3",156500,150000,6400,4.1
"223","County","Albany County",2003,"4",157300,151100,6100,3.9
"224","County","Albany County",2003,"5",157400,151100,6400,4
"225","County","Albany County",2003,"6",160100,152900,7100,4.5
"226","County","Albany County",2003,"7",160000,153100,6900,4.3
"227","County","Albany County",2003,"8",159800,153200,6500,4.1
"228","County","Albany County",2003,"9",156600,149900,6800,4.3
"229","County","Albany County",2003,"10",157500,151000,6500,4.1
"230","County","Albany County",2003,"11",157800,151300,6600,4.2
"231","County","Albany County",2003,"12",157200,150700,6500,4.2
"232","County","Albany County",2002,"avg",157700,151500,6200,3.9
"233","County","Albany County",2002,"1",153700,146700,7000,4.5
"234","County","Albany County",2002,"2",156300,149400,6900,4.4
"235","County","Albany County",2002,"3",156100,149600,6500,4.2
